cores,config,transport,dump,scp_s,filter,restore,exec
vanilla,0,0,0,0,.001452644,51.733
16,64,local,4.973426525,26.720172804,2.609251892,8.623278653,51.726429
16,32+32,rdma,4.973426525,26.720172804,2.643034929,11.985217783,41.752535
16,32+32,tcp,4.973426525,26.720172804,2.622057579,11.684321715,41.877940
16,32+16+16,tcp,4.973426525,26.720172804,2.610469733,8.083724587,41.593776
16,32+16+16,rdma,4.973426525,26.720172804,2.640897352,7.867775100,43.589831
16,22+21+21,tcp,4.973426525,26.671265343,2.648609305,7.989204070,34.197329
16,22+21+21,rdma,4.973426525,26.671265343,2.665300231,6.916540450,35.996695
16,16+16+16+16,tcp,4.973426525,26.671265343,2.659837616,7.999928107,29.422617
16,16+16+16+16,rdma,4.973426525,26.671265343,2.648511020,6.239484747,30.345605
16,34+10+10+10,tcp,4.973426525,26.671265343,2.672293951,6.064557940,28.584466
16,34+10+10+10,rdma,4.973426525,26.671265343,2.625811161,6.231838437,30.694346
16,19+45,tcp,4.973426525,26.671265343,2.631537421,11.707481102,31.908580
16,12+15+36,tcp,4.973426525,26.671265343,2.620601822,11.966240208,25.374460
16,9+10+21+34,tcp,4.973426525,26.671265343,2.621784640,5.224169544,21.886100
16,19+45,rdma,4.973426525,26.671265343,2.622967798,12.012130428,31.399191
16,12+15+36,rdma,4.973426525,26.671265343,2.642050135,12.017589667,25.012333
16,9+10+21+34,rdma,4.973426525,26.671265343,2.625908864,6.561626410,24.730721
